Assessment Name,URL,Remote Testing Support,Adaptive/IRT Support,Test Types
Account Manager Solution,https://www.shl.com/products/product-catalog/view/account-manager-solution/,No,No,"C
P
A
B"
Administrative Professional - Short Form,https://www.shl.com/products/product-catalog/view/administrative-professional-short-form/,No,No,"A
K
P"
Agency Manager Solution,https://www.shl.com/products/product-catalog/view/agency-manager-solution/,No,No,"A
B
P
S"
Apprentice + 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment-4261/,No,No,"B
P"
Apprentice 8.0 Job Focused Assessment,https://www.shl.com/products/product-catalog/view/apprentice-8-0-job-focused-assessment/,No,No,"B
P"
Bank Administrative Assistant - Short Form,https://www.shl.com/products/product-catalog/view/bank-administrative-assistant-short-form/,No,No,"A
B
K
P"
Bank Collections Agent - Short Form,https://www.shl.com/products/product-catalog/view/bank-collections-agent-short-form/,No,No,"A
B
P"
Bank Operations Supervisor - Short Form,https://www.shl.com/products/product-catalog/view/bank-operations-supervisor-short-form/,No,No,"A
B
P
S"
Bilingual Spanish Reservation Agent Solution,https://www.shl.com/products/product-catalog/view/bilingual-spanish-reservation-agent-solution/,No,No,"B
P
S
A"
"Bookkeeping, Accounting, Auditing Clerk Short Form",https://www.shl.com/products/product-catalog/view/bookkeeping-accounting-auditing-clerk-short-form/,No,No,"P
S
K
B
A"
Branch Manager - Short Form,https://www.shl.com/products/product-catalog/view/branch-manager-short-form/,No,No,"A
B
P"
Cashier Solution,https://www.shl.com/products/product-catalog/view/cashier-solution/,No,No,"B
A
P"
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,No,No,"A
E
B
C
D
P"
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,No,No,K
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,No,No,K
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,No,No,K
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,No,No,K
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,No,No,K
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,No,No,K
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,No,No,K
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,No,No,S
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,No,No,K
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,No,No,S
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,No,No,K
